Area code,Area name,Region,Rural Urban Classification,Population,Aged 4 years and under,Aged 5 to 14 years,Aged 15 to 19 years,Aged 20 to 34,Aged 35 to 54,Aged 55 to 64,Aged 65+,GDHI (£m),"GP Surgeries per 100,000 people","Doctors per 100,000 people",Very good health,Good health,Fair health,Bad health,Very bad health,Longitude,Latitude
E07000109,Gravesham,South East,Urban,106900,6600,14295,6148,19814,28750,12879,18414,65.27,12.9946072379962,96.21,52013,36416,13291,4088,1092,0.3951,51.4024
E07000110,Maidstone,South East,Urban,175800,10390,21273,8920,32295,47583,21796,33525,104.72,12.4873090934757,158.22,87494,59781,21018,5832,1657,0.5807,51.2351
E07000111,Sevenoaks,South East,Rural,120500,6724,15646,6537,17336,32228,16113,25928,71.13,12.3699097821247,108.45,63410,38931,13407,3660,1107,0.1721,51.2755
E07000112,Folkestone and Hythe,South East,Urban,109800,5112,11957,5234,17281,26819,15927,27428,61.62,15.3160052254606,98.82,47404,38432,16801,5519,1603,0.9944,51.0556
E07000113,Swale,South East,Rural,151700,8896,18981,8183,27856,39204,19645,28912,80.51,12.8293124130012,136.53,68967,52738,21338,6688,1947,0.8121,51.3148
E07000114,Thanet,South East,Urban,140600,7334,16268,7144,23027,34584,18973,33258,75.24,10.680793796595,126.54,59000,49262,22148,7823,2354,1.3377,51.3543
E07000115,Tonbridge and Malling,South East,Urban,132200,7681,17251,7547,21025,36311,17080,25306,76.57,8.135733621289,118.98,67896,44052,14959,4164,1130,0.3428,51.2667
E07000116,Tunbridge Wells,South East,Urban,115300,6167,15232,6506,17672,32520,14841,22373,66.53,12.818321654418,103.77,60833,37512,12586,3415,965,0.4307,51.1144
E07000117,Burnley,North West,Urban,94700,5760,12452,5469,18071,24067,11929,16898,44.2,15.5545185876497,85.23,42648,31570,13808,5073,1546,-2.222,53.7788
E07000118,Chorley,North West,Urban,117800,6062,13959,5873,19603,32167,15951,24116,66.24,12.5678664789865,106.02,57332,39109,15198,4735,1358,-2.6468,53.6615
E07000119,Fylde,North West,Urban,81400,3313,7994,3705,11290,19441,12987,22643,52.98,10.7339646494764,73.26,37427,27421,11815,3641,1070,-2.9138,53.7879
E07000120,Hyndburn,North West,Urban,82200,4926,10614,4951,15550,20905,10289,15004,41.17,17.8018300281269,73.98,36121,28210,12149,4387,1367,-2.3898,53.7587
E07000121,Lancaster,North West,Urban,142900,6741,15016,10707,29006,33530,18587,29345,81.35,16.4881594405018,128.61,66454,48857,19619,6214,1790,-2.6898,54.0695
E07000122,Pendle,North West,Urban,95800,5952,13319,5769,17246,24536,11689,17246,48.94,14.4271890683127,86.22,44752,32255,13182,4286,1285,-2.1847,53.8656
E07000123,Preston,North West,Urban,147900,8921,18472,9775,34342,37528,16997,21803,80.18,14.0655069016885,133.11,71585,48918,19091,6379,1862,-2.6974,53.8121
E07000124,Ribble Valley,North West,Rural,61500,2633,6719,3255,8849,15532,9722,14848,48.27,10.8579317191208,55.35,32360,19764,7117,1855,465,-2.4448,53.9072
E07000125,Rossendale,North West,Urban,70800,3780,8934,3799,11956,19020,9728,13654,35.33,11.1823989041249,63.72,33310,23556,9673,3430,904,-2.2673,53.6938
E07000126,South Ribble,North West,Urban,111000,5501,12814,5682,18422,29014,15569,24033,65.68,15.8517683528251,99.9,53172,37823,14535,4318,1187,-2.7089,53.728
E07000127,West Lancashire,North West,Urban,117400,5246,12560,8897,20469,27959,16577,25722,63.33,15.7411166251046,105.66,56460,38918,15404,5114,1534,-2.87,53.5991
E07000128,Wyre,North West,Rural,111900,4890,11554,5653,16088,25615,17144,31001,54.81,10.2569362531412,100.71,49623,37251,17326,5902,1844,-2.807,53.8997
E07000129,Blaby,East Midlands,Urban,102900,5708,12363,5323,17821,27160,13478,21072,59.26,12.3482588954957,92.61,50473,35496,12636,3328,993,-1.2219,52.5715
E07000130,Charnwood,East Midlands,Urban,183900,9173,19772,13739,38787,45598,22265,34634,105.83,14.3609382479655,165.51,90255,63617,22344,6051,1704,-1.1463,52.737
E07000131,Harborough,East Midlands,Rural,97600,4719,11273,5405,14831,26025,13875,21498,55.05,11.6980727425157,87.84,50282,32717,11016,2850,762,-1.0079,52.5394
E07000132,Hinckley and Bosworth,East Midlands,Rural,113600,5686,12804,5581,18845,29763,15550,25410,62.8,11.3072975558841,102.24,52913,40394,14967,4164,1202,-1.3909,52.6165
E07000133,Melton,East Midlands,Rural,51800,2418,5812,2551,7756,13125,7930,12160,23.56,13.1487499295603,46.62,24748,18186,6757,1622,439,-0.8561,52.7965
E07000134,North West Leicestershire,East Midlands,Rural,104700,5454,11928,5438,18771,28043,14068,21002,60.49,9.06486819681642,94.23,49180,36846,13648,3916,1116,-1.4051,52.7531
E07000135,Oadby and Wigston,East Midlands,Urban,57700,2863,6986,4227,9577,14347,7444,12303,27.57,13.4176408432987,51.93,26568,20744,7661,2170,604,-1.0936,52.587
E07000136,Boston,East Midlands,Urban,70500,3646,8458,3759,12657,18335,9241,14408,35.47,11.2096627292726,63.45,29747,26118,10548,3193,896,-0.0375,52.9734
E07000137,East Lindsey,East Midlands,Rural,142300,5635,13800,6365,19356,30597,23212,43331,69.87,12.382111975566,128.07,53934,50793,25949,8969,2651,0.0226,53.2516
E07000138,Lincoln,East Midlands,Urban,103900,5119,10666,8835,29204,23944,11040,15005,58.88,13.5509224306483,93.51,45492,38213,14444,4461,1203,-0.5551,53.2247
E07000139,North Kesteven,East Midlands,Rural,118000,5531,13254,5901,19195,29924,16660,27611,61.44,10.7258071169856,106.2,54648,41825,15872,4509,1220,-0.4462,53.0812
E07000140,South Holland,East Midlands,Rural,95100,4733,10333,4548,15631,23842,13338,22697,52.96,11.2342337741919,85.59,39386,35883,14451,4268,1134,-0.0601,52.7883
E07000141,South Kesteven,East Midlands,Rural,143400,6752,16986,7368,21682,36958,20539,33119,80.86,10.9770990271546,129.06,65973,51176,19418,5456,1381,-0.5183,52.8544
E07000142,West Lindsey,East Midlands,Rural,95200,4403,10580,4671,13974,23051,14489,23985,55.81,16.3465467919902,85.68,41693,34181,13948,4227,1104,-0.4765,53.3928
